Player,League,Club
K. Long,Premier League,Burnley
C. Kelleher,Premier League,Liverpool
L. Richards,Premier League,Wolverhampton Wanderers
G. Kilkenny,Premier League,AFC Bournemouth
S. Coleman,Premier League,Everton
J. Hendrick,Premier League,Burnley
R. Elliot,Premier League,Newcastle United
C. Coventry,Premier League,West Ham United
T. Parrott,Premier League,Tottenham Hotspur
R. Brady,Premier League,Burnley
C. Clark,Premier League,Newcastle United
E. Stevens,Premier League,Sheffield United
A. Idah,Premier League,Norwich City
S. Duffy,Premier League,Brighton & Hove Albion
C. Hourihane,Premier League,Aston Villa
J. Egan,Premier League,Sheffield United
S. Henderson,Premier League,Crystal Palace
A. Connolly,Premier League,Brighton & Hove Albion
S. Long,Premier League,Southampton
D. McGoldrick,Premier League,Sheffield United
J. McCarthy,Premier League,Crystal Palace
W. O'Hora,Premier League,Brighton & Hove Albion
M. Obafemi,Premier League,Southampton
C. Robinson,Premier League,Sheffield United
M. Doherty,Premier League,Wolverhampton Wanderers
M. Travers,Premier League,AFC Bournemouth
W. Smallbone,Premier League,Southampton
G. Cunningham,Championship,Blackburn Rovers
A. Browne,Championship,Preston North End
J. Cullen,Championship,Charlton Athletic
G. Rea,Championship,Luton Town
A. Pearce,Championship,Millwall
O. Shodipo,Championship,Queens Park Rangers
D. O'Shea,Championship,West Bromwich Albion
S. Maguire,Championship,Preston North End
R. Burke,Championship,Birmingham City
K. Westwood,Championship,Sheffield Wednesday
J. McClean,Championship,Stoke City
C. Masterson,Championship,Queens Park Rangers
A. Pilkington,Championship,Wigan Athletic
A. O'Reilly,Championship,Preston North End
J. Redmond,Championship,Birmingham City
C. Grant,Championship,Sheffield Wednesday
N. Collins,Championship,Stoke City
C. O'Dowda,Championship,Bristol City
J. Barrett,Championship,Reading
J. Rafferty,Championship,Preston North End
D. Randolph,Championship,Middlesbrough
S. Ward,Championship,Stoke City
R. Gilmartin,Championship,Bristol City
S. Williams,Championship,Millwall
K. O'Connor,Championship,Preston North End
D. Lenihan,Championship,Blackburn Rovers
S. Hogan,Championship,Stoke City
C. Christie,Championship,Fulham
A. Sheehan,Championship,Luton Town
A. O'Brien,Championship,Millwall
J. Knight,Championship,Derby County
D. Williams,Championship,Blackburn Rovers
H. Arter,Championship,Fulham
J. Collins,Championship,Luton Town
J. Molumby,Championship,Millwall
R. Manning,Championship,Queens Park Rangers
L. Frecklington,League One,Lincoln City
D. Murphy,League One,Bolton Wanderers
J. Murphy,League One,Shrewsbury Town
S. Scannell,League One,Blackpool
J. Shaughnessy,League One,Southend United
B. Garmston,League One,Gillingham
R. Delaney,League One,AFC Wimbledon
C. Bolger,League One,Lincoln City
R. Curtis,League One,Portsmouth
S. Conneely,League One,Accrington Stanley
C. O'Malley,League One,Peterborough United
J. Keohane,League One,Rochdale
M. Byrne,League One,Gillingham
P. Madden,League One,Fleetwood Town
A. Forde,League One,Oxford United
A. McGeady,League One,Sunderland
S. Quinn,League One,Burton Albion
I. Lawlor,League One,Doncaster Rovers
B. Barry-Murphy,League One,Rochdale
J. Bonham,League One,Gillingham
J. Dunne,League One,Fleetwood Town
G. Coughlan,League One,Bristol Rovers
A. Judge,League One,Ipswich Town
J. O'Toole,League One,Burton Albion
S. Blaney,League One,Doncaster Rovers
J. Ryan,League One,Rochdale
T. O'Connor,League One,Gillingham
S. McLaughlin,League One,Southend United
B. Cotter,League One,Ipswich Town
K. O'Hara,League One,Burton Albion
K. Sadlier,League One,Doncaster Rovers
E. O'Connell,League One,Rochdale
J. Mason,League One,Milton Keynes Dons
S. Cox,League One,Southend United
T. Clarke,League One,Rotherham United
S. McLoughlin,League One,AFC Wimbledon
C. Prior,League One,Doncaster Rovers
P. McShane,League One,Rochdale
D. Potter,League One,Tranmere Rovers
R. Kiernan,League One,Southend United
C. Ogbene,League One,Rotherham United
C. Reilly,League One,AFC Wimbledon
B. Clarke,League Two,Plymouth Argyle
D. Bernard,League Two,Forest Green Rovers
C. Shaughnessy,League Two,Mansfield Town
C. Carroll,League Two,Carlisle United
D. Connolly,League Two,Bradford City
S. Ogie,League Two,Leyton Orient
L. Kinsella,League Two,Walsall
R. Grego-Cox,League Two,Crawley Town
A. McCormack,League Two,Northampton Town
P. Sweeney,League Two,Exeter City
E. Doyle,League Two,Swindon Town
C. Wilkinson,League Two,Leyton Orient
C. Cockerill-Mollett,League Two,Walsall
M. Harriman,League Two,Northampton Town
B. Roche,League Two,Morecambe
L. Dunne,League Two,Colchester United
E. Osadebe,League Two,Macclesfield Town
R. Gaffney,League Two,Walsall
S. Long,League Two,Cheltenham Town
E. Nolan,League Two,Crewe Alexandra
J. O'Sullivan,League Two,Morecambe
C. McCann,League Two,Oldham Athletic
F. Kelleher,League Two,Macclesfield Town
A. O'Connor,League Two,Bradford City
J. Doyle-Hayes,League Two,Cheltenham Town
P. Green,League Two,Crewe Alexandra
M. Timlin,League Two,Stevenage
J. McKeown,League Two,Grimsby Town
C. O'Keefe,League Two,Macclesfield Town
P. O'Connor,League Two,Bradford City
A. Rooney,League Two,Salford City
G. Deegan,League Two,Cambridge United
N. Canavan,League Two,Plymouth Argyle
K. Dawson,League Two,Forest Green Rovers
C. Logan,League Two,Mansfield Town
D. McMahon,League Two,Macclesfield Town
J. Devitt,League Two,Bradford City
R. Towell,League Two,Salford City
S. Carruthers,League Two,Cambridge United
K. Ferdinand,National League,Woking
M. Doyle,National League,Notts County
P. Rooney,National League,Dover Athletic
S. Donnellan,National League,Woking
D. McCrory,National League,Notts County
J. O'Keefe,National League,Chorley
J. Gannon,National League,Stockport County
F. Sutherland,National League,Ebbsfleet United
C. Duffus,National League,Yeovil Town
A. McDonnell,National League,Boreham Wood
F. Mulhern,National League,Stockport County
J. Quigley,National League,Dagenham & Redbridge
R. Murphy,National League,Yeovil Town
G. Gunning,National League,Solihull Moors
C. Dimaio,National League,Stockport County
L. McAlinden,National League,Halifax Town
J. Taylor,National League,Barnet
N. Byrne,National League,Fylde
A. Gerrard,National League,Chesterfield
S. Fenelon,National League,Maidenhead United
G. McDonagh,National League,Aldershot Town
M. Yeates,National League,Fylde
R. Keating,National League,Torquay United
A. Dunne,National League,Bromley
G. Holohan,National League,Hartlepool United
C. Ndaba,National League N/S,Chelmsford City
D. Lynch,National League N/S,Alfreton Town
M. Liddle,National League N/S,Darlington
D. Brennan,National League N/S,Wealdstone
S. Davies,National League N/S,Slough Town
W. Hayhurst,National League N/S,Farsley Celtic
C. Smith,National League N/S,Wealdstone
D. McGlade,National League N/S,Blyth Spartans
K. Finn,National League N/S,Hereford
K. Byrne,National League N/S,Boston United
J. Connors,National League N/S,Dulwich Hamlet
R. Michael-Percil,National League N/S,Braintree Town
S. Dawson,National League N/S,Hereford
C. Davidson,National League N/S,Kidderminster Harriers
S. Byrne,National League N/S,Brackley Town
J. James,National League N/S,Braintree Town
D. Lowth,National League N/S,Kidderminster Harriers
M. O'Donoghue,National League N/S,Concord Rangers
M. Spillane,National League N/S,Chelmsford City
P. White,National League N/S,Kettering Town
C. Mahon,National League N/S,Chester
P. Mitchell,Non League Premier,Taunton Town
H. Crawford,Non League Premier,Kings Langley
R. Brett,Non League Premier,Taunton Town
M. McKeever,Non League Premier,Weston-super-Mare
S. Deeney,Non League Premier,Basford United
P. Roberts,Non League Premier,Hayes & Yeading United
L. Martin,Non League Premier,Ashton United
L. Donnellan,Non League Premier,Hayes & Yeading United
G. McMahon,Non League Premier,Ashton United
M. Alli,Non League Premier,South Shields
J. Macken,Non League Premier,Bamber Bridge
S. Elliott,Non League Premier,Morpeth Town
C. Webb,Non League Premier,Beaconsfield Town
R. Collins,Non League Premier,Kings Langley
T. Cadman,Non League Div One,Whitehawk
N. Yadolahi,Non League Div One,Whitehawk
M. Watkins-Clark,Non League Div One,Bedford Town
L. Rowe,Non League Div One,Ramsbottom United
J. O'Cearuill,Non League Div One,Staines Town
G. Smith,Non League Div One,Staines Town
C. Ramadan,Non League Div One,Bury Town
A. Mulrooney-Skinner,Non League Div One,Hythe Town
