County,Population,Province
Dublin,1347359.00,Leinster
Antrim,618108.00,Ulster
Cork,542868.00,Munster
Down,531665.00,Ulster
Galway,258058.00,Connacht
Londonderry,247132.00,Ulster
Kildare,222504.00,Leinster
Meath,195044.00,Leinster
Limerick,194899.00,Munster
Tyrone,179000.00,Ulster
Armagh,174792.00,Ulster
Tipperary,159553.00,Munster
Donegal,159192.00,Ulster
Wexford,149722.00,Leinster
Kerry,147707.00,Munster
Wicklow,142425.00,Leinster
Mayo,130507.00,Connacht
Louth,128884.00,Leinster
Clare,118817.00,Munster
Waterford,116176.00,Munster
Kilkenny,99232.00,Leinster
Westmeath,88770.00,Leinster
Laois,84697.00,Leinster
Offaly,77961.00,Leinster
Cavan,76176.00,Ulster
Sligo,65535.00,Connacht
Roscommon,64544.00,Connacht
Monaghan,61386.00,Ulster
Fermanagh,61170.00,Ulster
Carlow,56932.00,Leinster
Longford,40873.00,Leinster
Leitrim,32044.00,Connacht
